Halfmoon,OT Run,Date,Face,Target Fluence,Facility,Radiation Time (m),PIN Fluence,D0 Fluence
34254_025,1,4/28/2021,2,1.10E+15,RINSC,51,7.87E+14,
34253_037,1,4/28/2021,4,1.10E+15,RINSC,51,8.36E+14,
34252_008,2,5/13/2021,1,1.10E+15,RINSC,51,8.10E+14,
34252_018,2,5/13/2021,3,1.10E+15,RINSC,51,8.82E+14,
34340_007,3,6/10/2021,1,1.10E+15,RINSC,56,9.91E+14,
34340_039,3,6/10/2021,3,1.10E+15,RINSC,56,8.36E+14,
34340_040,4,6/10/2021,1,1.10E+15,RINSC,56,8.21E+14,
34340_014,4,6/10/2021,3,1.10E+15,RINSC,56,8.43E+14,
34341_041,5,7/15/2021,1,1.10E+15,RINSC,56,8.15E+14,
34341_012,5,7/15/2021,3,1.10E+15,RINSC,56,8.23E+14,
36696_010,6,8/26/2021,1,1.10E+15,RINSC,56,7.82E+14,6.29E+14
36696_039,6,8/26/2021,3,1.10E+15,RINSC,56,8.50E+14,7.23E+14
34343_036,7,8/26/2021,1,1.10E+15,RINSC,56,8.04E+14,7.06E+14
34343_015,7,8/26/2021,3,1.10E+15,RINSC,56,8.67E+14,7.89E+14
34331_007,8,8/20/2021,1,4.00E+14,RINSC,20,3.37E+14,2.41E+14
34331_042,8,8/20/2021,2,4.00E+14,RINSC,20,3.71E+14,2.87E+14
34330_048,8,8/20/2021,3,4.00E+14,RINSC,20,3.83E+14,2.79E+14
34330_049,8,8/20/2021,4,4.00E+14,RINSC,20,3.28E+14,4.11E+14
36697_011,9,9/27/2021,1,1.10E+15,RINSC,56,8.41E+14,
36697_036,9,9/27/2021,3,1.10E+15,RINSC,56,8.95E+14,
37399_033,10,11/10/2021,1,1.10E+15,RINSC,67,1.06E+15,1.06E+15
37399_049,10,11/10/2021,3,1.10E+15,RINSC,67,9.05E+14,9.05E+14
37398_001,11,12/16/2021,1,1.10E+15,RINSC,67,9.55E+14,8.37E+14
37398_012,11,12/16/2021,3,1.10E+15,RINSC,67,9.81E+14,8.92E+14
38694_003,12,2/17/2022,1,4.00E+14,RINSC,24,4.05E+14,3.60E+14
38694_040,12,2/17/2022,2,4.00E+14,RINSC,24,4.36E+14,3.52E+14
38695_002,12,2/17/2022,3,4.00E+14,RINSC,24,3.84E+14,3.12E+14
38695_044,12,2/17/2022,4,4.00E+14,RINSC,24,3.45E+14,3.01E+14
38875_004,13,3/15/2022,1,4.00E+14,RINSC,24,3.91E+14,
38875_048,13,3/15/2022,2,4.00E+14,RINSC,24,4.40E+14,
38874_011,13,3/15/2022,3,4.00E+14,RINSC,24,4.07E+14,
38874_044,13,3/15/2022,4,4.00E+14,RINSC,24,3.64E+14,
38713_049,14,3/15/2022,1,4.00E+14,RINSC,24,4.30E+14,
38873_003,14,3/15/2022,2,4.00E+14,RINSC,24,4.14E+14,
38873_035,14,3/15/2022,3,4.00E+14,RINSC,24,3.71E+14,
38202_028,15,4/11/2022,1,4.00E+14,RINSC,24,4.32E+14,
38202_031,15,4/11/2022,2,4.00E+14,RINSC,24,4.90E+14,
38696_001,15,4/11/2022,3,4.00E+14,RINSC,24,4.23E+14,
38696_046,15,4/11/2022,4,4.00E+14,RINSC,24,4.01E+14,
37903_003,16,4/22/2022,1,4.00E+14,RINSC,24,4.45E+14,
37903_045,16,4/22/2022,2,4.00E+14,RINSC,24,3.98E+14,
38693_001,16,4/22/2022,3,4.00E+14,RINSC,24,3.79E+14,
38693_046,16,4/22/2022,4,4.00E+14,RINSC,24,4.04E+14,
39564_002,17,7/12/2022,1,4.00E+14,RINSC,24,4.41E+14,
39564_048,17,7/12/2022,2,4.00E+14,RINSC,24,3.90E+14,
39565_002,17,7/12/2022,3,4.00E+14,RINSC,24,3.91E+14,
39565_049,17,7/12/2022,4,4.00E+14,RINSC,24,4.41E+14,
34253_036,FNAL1,12/1/2021,,1.10E+15,FNAL,,2.04E+15,
34253_049,FNAL1,12/1/2021,,1.10E+15,FNAL,,2.04E+15,
34254_014,FNAL1,12/1/2021,,1.10E+15,FNAL,,2.04E+15,
34341_038,FNAL1,12/1/2021,,1.10E+15,FNAL,,2.04E+15,
37895_001,FNAL2,4/1/2022,3,1.10E+15,FNAL,,3.30E+15,
37896_001,FNAL2,4/1/2022,6,1.10E+15,FNAL,,3.40E+15,
37896_044,FNAL2,4/1/2022,5,1.10E+15,FNAL,,3.40E+15,
38212_001,FNAL2,4/1/2022,4,1.10E+15,FNAL,,3.20E+15,
38212_044,FNAL2,4/1/2022,1,1.10E+15,FNAL,,2.80E+15,
38202_006,FNAL3,6/1/2022,11,4.00E+14,FNAL,,9.00E+14,
38202_035,FNAL3,6/1/2022,12,4.00E+14,FNAL,,9.00E+14,
38693_004,FNAL3,6/1/2022,14,4.00E+14,FNAL,,9.00E+14,
38693_042,FNAL3,6/1/2022,13,4.00E+14,FNAL,,9.00E+14,
39566_001,FNAL3,6/1/2022,10,4.00E+14,FNAL,,9.00E+14,
39566_046,FNAL3,6/1/2022,9,4.00E+14,FNAL,,9.00E+14,
39567_001,FNAL3,6/1/2022,8,4.00E+14,FNAL,,9.00E+14,
39567_045,FNAL3,6/1/2022,7,4.00E+14,FNAL,,9.00E+14,
39563_002,18,9/8/2022,1,1.10E+15,RINSC,67,1.07E+15,
39563_046,18,9/8/2022,2,1.10E+15,RINSC,67,1.04E+15,
41727_001,18,9/8/2022,3,1.10E+15,RINSC,67,1.03E+15,
41727_046,18,9/8/2022,4,1.10E+15,RINSC,67,1.03E+15,
41729_001,19,9/19/2022,1,1.10E+15,RINSC,67,1.03E+15,
41729_046,19,9/19/2022,2,1.10E+15,RINSC,67,9.81E+14,
42240_001,19,9/19/2022,3,1.10E+15,RINSC,67,1.01E+15,
42240_046,19,9/19/2022,4,1.10E+15,RINSC,67,1.04E+15,
41352_001,20,9/30/2022,1,4.00E+14,RINSC,24,3.88E+14,
41352_046,20,9/30/2022,2,4.00E+14,RINSC,24,4.34E+14,
41354_026,20,9/30/2022,3,4.00E+14,RINSC,24,3.98E+14,
41354_047,20,9/30/2022,4,4.00E+14,RINSC,24,3.73E+14,
41753_001,21,11/4/2022,1,4.00E+14,RINSC,24,3.23E+14,
41753_045,21,11/4/2022,2,4.00E+14,RINSC,24,3.07E+14,
41755_001,21,11/4/2022,3,4.00E+14,RINSC,24,3.26E+14,
41755_045,21,11/4/2022,4,4.00E+14,RINSC,24,3.59E+14,
42256_001,22,1/18/2023,1,5.00E+14,RINSC,29,4.78E+14,
42256_043,22,1/18/2023,2,5.00E+14,RINSC,29,4.56E+14,
42903_001,22,1/18/2023,3,5.00E+14,RINSC,29,4.85E+14,
42903_046,22,1/18/2023,4,5.00E+14,RINSC,29,5.22E+14,
42902_001,23,3/3/2023,1,5.00E+14,RINSC,29,5.04E+14,
42902_044,23,3/3/2023,2,5.00E+14,RINSC,29,4.97E+14,
43275_003,23,3/3/2023,3,5.00E+14,RINSC,29,4.70E+14,
43275_046,23,3/3/2023,4,5.00E+14,RINSC,29,4.58E+14,
